,R,X,V,F
0,+7.61444E-02,-1.40895E-02,+5.85171E+00,1.00000E+00
1,+7.20720E-02,-1.21901E-02,+5.85861E+00,2.00000E+00
2,+6.93975E-02,-1.13069E-02,+5.86093E+00,3.00000E+00
3,+6.62225E-02,-1.05104E-02,+5.86226E+00,5.00000E+00
4,+6.66461E-02,-1.78059E-02,+5.86311E+00,8.00000E+00
5,+6.11783E-02,-9.84251E-03,+5.86370E+00,1.00000E+01
6,+6.09017E-02,-1.13142E-02,+5.86420E+00,1.10000E+01
7,+5.72067E-02,-6.71371E-03,+5.86462E+00,2.10000E+01
8,+5.51081E-02,-9.31169E-03,+5.86498E+00,3.10000E+01
9,+4.81879E-02,-1.13339E-02,+5.86528E+00,6.10000E+01
10,+5.17505E-02,-4.05693E-03,+5.86553E+00,8.10000E+01
11,+5.28333E-02,-1.13046E-02,+5.86578E+00,1.00000E+02
12,+5.34247E-02,-9.68656E-03,+5.86597E+00,1.10000E+02
13,+4.54762E-02,-2.52313E-03,+5.86628E+00,2.10000E+02
14,+3.90123E-02,-4.42107E-03,+5.86645E+00,3.10000E+02
15,+3.97714E-02,-3.33951E-03,+5.86666E+00,5.10000E+02
16,+4.06330E-02,-3.85101E-03,+5.86684E+00,8.10000E+02
17,+3.97206E-02,-5.06660E-03,+5.86705E+00,1.00000E+03
18,+7.23474E-02,-1.27639E-02,+5.90047E+00,1.00000E+00
19,+6.80856E-02,-1.07517E-02,+5.90066E+00,2.00000E+00
20,+6.25820E-02,-5.73269E-03,+5.90073E+00,3.00000E+00
21,+6.28981E-02,-9.27284E-03,+5.90080E+00,5.00000E+00
22,+6.01922E-02,-9.26636E-03,+5.90084E+00,8.00000E+00
23,+5.92635E-02,-9.37476E-03,+5.90088E+00,1.00000E+01
24,+5.73761E-02,-3.53236E-03,+5.90090E+00,1.10000E+01
25,+5.38765E-02,-1.42811E-02,+5.90096E+00,2.10000E+01
26,+5.05007E-02,-8.46559E-03,+5.90099E+00,3.10000E+01
27,+4.84156E-02,-7.01284E-03,+5.90098E+00,6.10000E+01
28,+4.19770E-02,-1.14266E-02,+5.90102E+00,8.10000E+01
29,+4.71257E-02,-7.92043E-04,+5.90105E+00,1.00000E+02
30,+4.77835E-02,-3.64578E-03,+5.90104E+00,1.10000E+02
31,+4.56480E-02,-8.17617E-03,+5.90104E+00,2.10000E+02
32,+3.92578E-02,-4.72501E-03,+5.90108E+00,3.10000E+02
33,+4.16771E-02,-4.75069E-03,+5.90111E+00,5.10000E+02
34,+3.75869E-02,-3.71990E-03,+5.90115E+00,8.10000E+02
35,+3.69927E-02,-2.93122E-03,+5.90113E+00,1.00000E+03
