,R,X,V,F
0,+7.23972E-02,-8.30671E-03,+5.73585E+00,1.00000E+03
1,+7.36706E-02,-9.32769E-03,+5.73585E+00,8.00000E+02
2,+7.44824E-02,-9.95040E-03,+5.73586E+00,7.00000E+02
3,+7.67371E-02,-1.15505E-02,+5.73586E+00,5.00000E+02
4,+1.56268E-01,-2.72102E-02,+5.73586E+00,1.10000E+00
5,+7.23563E-02,-8.30218E-03,+5.73593E+00,1.00000E+03
6,+7.36337E-02,-9.32984E-03,+5.73594E+00,8.00000E+02
7,+7.44444E-02,-9.94462E-03,+5.73593E+00,7.00000E+02
8,+7.66790E-02,-1.15708E-02,+5.73594E+00,5.00000E+02
9,+1.56184E-01,-2.72086E-02,+5.73594E+00,1.10000E+00
10,+7.23530E-02,-8.28774E-03,+5.73600E+00,1.00000E+03
11,+7.36192E-02,-9.29973E-03,+5.73602E+00,8.00000E+02
12,+7.44523E-02,-9.94502E-03,+5.73600E+00,7.00000E+02
13,+7.66693E-02,-1.15927E-02,+5.73601E+00,5.00000E+02
14,+1.56097E-01,-2.71798E-02,+5.73603E+00,1.10000E+00
15,+7.23459E-02,-8.29858E-03,+5.73608E+00,1.00000E+03
16,+7.36022E-02,-9.31058E-03,+5.73608E+00,8.00000E+02
17,+7.44173E-02,-9.92866E-03,+5.73607E+00,7.00000E+02
18,+7.66590E-02,-1.15574E-02,+5.73609E+00,5.00000E+02
19,+1.56022E-01,-2.71518E-02,+5.73608E+00,1.10000E+00
20,+7.23122E-02,-8.32875E-03,+5.73615E+00,1.00000E+03
21,+7.35826E-02,-9.33568E-03,+5.73615E+00,8.00000E+02
22,+7.44161E-02,-9.94543E-03,+5.73616E+00,7.00000E+02
23,+7.66377E-02,-1.15524E-02,+5.73616E+00,5.00000E+02
24,+1.55921E-01,-2.71210E-02,+5.73615E+00,1.10000E+00
25,+7.22727E-02,-8.31748E-03,+5.73621E+00,1.00000E+03
26,+7.35762E-02,-9.34028E-03,+5.73622E+00,8.00000E+02
27,+7.43800E-02,-9.98395E-03,+5.73621E+00,7.00000E+02
28,+7.66238E-02,-1.15824E-02,+5.73622E+00,5.00000E+02
29,+1.55866E-01,-2.71205E-02,+5.73624E+00,1.10000E+00
